site;fire_class;drt_treatment;site_type;land_type;plotID;gps_loc;species;plantID;loggerID;date_in;date_out;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Open;se_o_en_1;;Empetrum_nigrum;0;95221125;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Forested;ka_f_en_4;;Empetrum_nigrum;0;95221126;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Forested;ka_f_vv_5;;Vaccinium_vitis-idaea;0;95221127;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Open;ka_o_en_5;;Empetrum_nigrum;0;95221128;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Open;ka_o_vv_4;;Vaccinium_vitis-idaea;0;95221129;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Forested;ka_f_en_5;;Empetrum_nigrum;0;95221130;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Forested;ka_f_vv_4;;Vaccinium_vitis-idaea;0;95221131;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Forested;ka_f_en_2;;Empetrum_nigrum;0;95221132;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Forested;ka_f_vm_4;;Vaccinium_myrtillus;0;95221133;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Forested;ka_f_vv_1;;Vaccinium_vitis-idaea;0;95221134;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Forested;ka_f_en_3;;Empetrum_nigrum;0;95221135;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Open;se_o_vm_3;;Vaccinium_myrtillus;0;95221147;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;Pioneer;90;Coastal;DroughtNet;1,2;;Empetrum nigrum;5;95221150;30/04/2024;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Forested;ka_f_vm_2;;Vaccinium_myrtillus;0;95221151;02.06.2023;;Replace 95221016;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Forested;ka_f_en_1;;Empetrum_nigrum;0;95221152;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Forested;ka_f_vm_1;;Vaccinium_myrtillus;0;95221153;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Forested;ka_f_vv_2;;Vaccinium_vitis-idaea;0;95221154;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Forested;ka_f_vm_3;;Vaccinium_myrtillus;0;95221155;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Forested;se_f_en_1;;Empetrum_nigrum;0;95221156;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Forested;se_f_vm_2;;Vaccinium_myrtillus;0;95221157;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Forested;se_f_vv_3;;Vaccinium_vitis-idaea;0;95221158;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Forested;se_f_en_2;;Empetrum_nigrum;0;95221159;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Senja;None;0;Coastal;Forested;se_f_vv_2;;Vaccinium_vitis-idaea;0;95221160;31.05.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Open;ka_o_en_4;;Empetrum_nigrum;0;95221161;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Open;ka_o_en_3;;Empetrum_nigrum;0;95221162;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Open;ka_o_vm_3;;Vaccinium_myrtillus;0;95221163;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Open;ka_o_vv_3;;Vaccinium_vitis-idaea;0;95221164;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Open;ka_o_vv_2;;Vaccinium_vitis-idaea;0;95221165;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Open;ka_o_vm_1;;Vaccinium_myrtillus;0;95221166;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Open;ka_o_vv_1;;Vaccinium_vitis-idaea;0;95221167;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Open;ka_o_en_2;;Empetrum_nigrum;0;95221168;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Open;ka_o_vm_2;;Vaccinium_myrtillus;0;95221169;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Kautokeino;None;0;Continental;Open;ka_o_vm_4;;Vaccinium_myrtillus;0;95221170;02.06.2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;None;0;Coastal;Open;ly_o_vm_4;;Vaccinium myrtillus;0;95221176;08/06/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;None;0;Coastal;Open;ly_o_en_1;;Empetrum nigrum;0;95221177;08/06/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;None;0;Coastal;Open;ly_o_cv_3;;Calluna vulgaris;0;95221178;08/06/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;None;0;Coastal;Open;ly_o_vv_2;;Vaccinium vitis idea;0;95221179;08/06/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;None;0;Coastal;Open;ly_o_vm_3;;Vaccinium myrtillus;0;95221180;08/06/2023;;;;;;;;;;;;;;;;;;;;;;;
Lygra;None;0;Coastal;Open;ly_o_cv_5;;Calluna vulgaris;0;95221182;08/06/2023;;;;;;;;;;;;;;;;;;;;;;;
